Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
675,1,0.8264984472049688,0.025180913918953714,0.0045147895812988285,0.0009257821805833363,0.002914285659790039,0.0006350783326613405,entropy,12,1,5,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.8,0.85625,0.85625,0.81875
700,1,0.8264984472049688,0.025180913918953714,0.005064582824707032,0.0009847668028570306,0.0032649517059326174,0.0007547195822552841,entropy,13,1,5,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.8,0.85625,0.85625,0.81875
650,3,0.8252484472049689,0.025684616870924496,0.003799581527709961,0.000280523044852569,0.002682065963745117,0.00022988638374190308,entropy,11,1,5,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.8,0.85625,0.85625,0.8125
725,3,0.8252484472049689,0.02658146993313538,0.003948211669921875,0.00027733650123803246,0.0025528907775878907,0.00022084519296797727,entropy,14,1,5,"{'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.79375,0.85625,0.85625,0.81875
653,5,0.8252406832298137,0.026051988264822346,0.003760671615600586,0.0001544171889680185,0.002481508255004883,7.025470201083325e-05,entropy,11,1,8,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.8125,0.85625,0.85625,0.79375
275,6,0.823998447204969,0.02641629538407309,0.00418853759765625,0.00046623758684617917,0.0029911041259765626,0.00038792807352552535,gini,11,1,5,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.8,0.85625,0.85625,0.80625
703,7,0.8239906832298136,0.027634811391159798,0.003785371780395508,0.00018480408337781109,0.0026587963104248045,0.00018578871764025732,entropy,13,1,8,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.8125,0.85625,0.85625,0.7875
678,7,0.8239906832298136,0.027634811391159798,0.0038405418395996093,0.0002036291532803817,0.002586221694946289,0.0001855108351982941,entropy,12,1,8,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.8125,0.85625,0.85625,0.7875
628,9,0.8227562111801243,0.023276177388440303,0.004042387008666992,0.0005650032803070374,0.002971839904785156,0.0006555874776323046,entropy,10,1,8,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7950310559006211,0.8125,0.85625,0.84375,0.80625
300,10,0.8227484472049691,0.024968816147967927,0.003881978988647461,0.0002464544926451696,0.0031060695648193358,0.0006396120484833542,gini,12,1,5,"{'criterion': 'gini', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8012422360248447,0.8,0.85,0.85625,0.80625
651,11,0.8227484472049689,0.027357664005375593,0.005551433563232422,0.003433176380014725,0.0044937610626220705,0.0038283993280558396,entropy,11,1,6,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.8,0.85625,0.85625,0.8
652,12,0.8227406832298136,0.02534579864000166,0.003888988494873047,0.0001452662000416092,0.0023892879486083984,6.930604599090827e-05,entropy,11,1,7,"{'criterion': 'entropy', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.8074534161490683,0.80625,0.85625,0.85,0.79375
728,12,0.8227406832298136,0.028260564550261717,0.003894186019897461,0.0004734451670211996,0.0033916473388671876,0.0011574176275550108,entropy,14,1,8,"{'criterion': 'entropy', 'max_depth': 14, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.8074534161490683,0.80625,0.85625,0.85625,0.7875
182,14,0.8227329192546584,0.026015545745257697,0.0037971973419189454,0.00020384309439578795,0.0037738800048828123,0.002706219497333851,gini,7,2,7,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 7}",0.8136645962732919,0.79375,0.86875,0.83125,0.80625
180,14,0.8227329192546584,0.026015545745257697,0.0045452117919921875,0.0010568111826957003,0.002565431594848633,0.00021426010084293998,gini,7,2,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8136645962732919,0.79375,0.86875,0.83125,0.80625
181,14,0.8227329192546584,0.026015545745257697,0.005115890502929687,0.0018801490128150958,0.003310394287109375,0.0012355560428109545,gini,7,2,6,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 6}",0.8136645962732919,0.79375,0.86875,0.83125,0.80625
175,17,0.8215217391304348,0.028014393410981702,0.004120492935180664,0.0006773962263608963,0.0038617134094238283,0.0020502790504220146,gini,7,1,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.782608695652174,0.8,0.8625,0.8375,0.825
176,17,0.8215217391304348,0.028014393410981702,0.0045280933380126955,0.0002481182370142297,0.003756999969482422,0.0006617557179559466,gini,7,1,6,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.782608695652174,0.8,0.8625,0.8375,0.825
177,17,0.8215217391304348,0.028014393410981702,0.005716991424560547,0.0035191828762504863,0.0047588348388671875,0.002280264521793959,gini,7,1,7,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.782608695652174,0.8,0.8625,0.8375,0.825
625,20,0.8215139751552794,0.02451959234059676,0.0038730621337890623,0.0001434172396330104,0.002784919738769531,0.0005235512050068543,entropy,10,1,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.7888198757763976,0.8,0.85625,0.8375,0.825
276,21,0.8214984472049689,0.028487943025838958,0.004458332061767578,0.0006691406179545692,0.0025855541229248048,0.00023824593014932718,gini,11,1,6,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.8,0.85625,0.85625,0.79375
676,21,0.8214984472049689,0.028487943025838958,0.004548120498657227,0.001077533768188016,0.003224086761474609,0.0011625658628704834,entropy,12,1,6,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.8,0.85625,0.85625,0.79375
701,21,0.8214984472049689,0.028487943025838958,0.00457000732421875,0.0016317187171153037,0.003127002716064453,0.0010213269289212183,entropy,13,1,6,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 6}",0.8012422360248447,0.8,0.85625,0.85625,0.79375
677,24,0.8214906832298137,0.026853979533284143,0.003873109817504883,0.00020767673374139065,0.00255584716796875,0.00021141095825626715,entropy,12,1,7,"{'criterion': 'entropy', 'max_depth': 12, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.8074534161490683,0.80625,0.85625,0.85,0.7875
702,24,0.8214906832298137,0.026853979533284143,0.004063796997070312,0.0004634222675973484,0.0027844905853271484,0.0005531646660783867,entropy,13,1,7,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 7}",0.8074534161490683,0.80625,0.85625,0.85,0.7875
178,26,0.8202717391304347,0.029066485615074675,0.004945945739746094,0.0012418497193938615,0.0028392791748046873,0.0005271959235587725,gini,7,1,8,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.782608695652174,0.79375,0.8625,0.8375,0.825
603,27,0.8202562111801243,0.023236533513387073,0.003826904296875,0.0001316333481882313,0.0026572704315185546,0.0005197565402302819,entropy,9,1,8,"{'criterion': 'entropy', 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 8}",0.7950310559006211,0.8,0.85625,0.8375,0.8125
