Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
577,1,0.8177639751552794,0.053092515689253675,0.004640054702758789,0.0004286752632892384,0.0030120849609375,0.0002708555356564372,gini,11,3,8,random,"{'criterion': 'gini', 'max_depth': 11, 'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'random'}",0.7888198757763976,0.78125,0.8875,0.875,0.75625
1092,1,0.8177639751552794,0.03674323369293519,0.005223751068115234,0.00029972722236042484,0.0029253482818603514,7.108047595673503e-05,entropy,6,5,6,best,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 6, 'splitter': 'best'}",0.7888198757763976,0.7875,0.8875,0.81875,0.80625
327,3,0.8177562111801242,0.0441301206164155,0.004700613021850586,0.0004229859638274479,0.0028690814971923826,3.430391835980142e-05,gini,6,3,8,random,"{'criterion': 'gini', 'max_depth': 6, 'min_samples_leaf': 3, 'min_samples_split': 8, 'splitter': 'random'}",0.7950310559006211,0.7875,0.8875,0.85,0.76875
467,4,0.8165217391304349,0.029948265884514946,0.00450739860534668,9.972232647929674e-05,0.0036262035369873046,0.0007890073698497073,gini,9,2,8,random,"{'criterion': 'gini', 'max_depth': 9, 'min_samples_leaf': 2, 'min_samples_split': 8, 'splitter': 'random'}",0.782608695652174,0.825,0.85625,0.8375,0.78125
1098,5,0.8165139751552795,0.034379865620764824,0.005033636093139648,9.538717065619789e-05,0.0027941226959228515,4.1564940793573766e-05,entropy,6,5,9,best,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 9, 'splitter': 'best'}",0.7888198757763976,0.7875,0.88125,0.81875,0.80625
1096,5,0.8165139751552795,0.034379865620764824,0.006935977935791015,0.0032220982406909607,0.0029781341552734377,0.00027369507497483625,entropy,6,5,8,best,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",0.7888198757763976,0.7875,0.88125,0.81875,0.80625
172,7,0.8152872670807453,0.03748343480170641,0.004339694976806641,0.00013615241523053724,0.002948570251464844,0.00013480941250709744,gini,3,3,6,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 6, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
170,7,0.8152872670807453,0.03748343480170641,0.004521369934082031,0.00014219080976626093,0.0031991004943847656,0.000298551586993403,gini,3,3,5,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 5, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
174,7,0.8152872670807453,0.03748343480170641,0.004619503021240234,0.00019379459950400748,0.002809000015258789,2.213849706653332e-05,gini,3,3,7,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 3, 'min_samples_split': 7, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
188,7,0.8152872670807453,0.03748343480170641,0.004770708084106445,0.000315475312513156,0.0033458709716796876,0.000375097051558374,gini,3,4,9,best,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 9, 'splitter': 'best'}",0.7701863354037267,0.79375,0.88125,0.80625,0.825
